Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Georgia,1995,$       20283513,$       17122830,$       19154482,$       17771175,$        3009410,$              0,$        2384195,$        1871872,$         218020,$         880064,$         853013,$          27051,$         264225,$         262646
Georgia,1996,$       22408977,$       18345190,$       20013038,$       18588949,$        3292296,$              0,$        2383844,$        1990879,$         503089,$         882751,$         855613,$          27138,$         258605,$         257519
Georgia,1997,$       24028450,$       19713921,$       21975372,$       20447963,$        3464996,$              0,$        2539760,$        2118266,$         377853,$         911062,$         877637,$          33425,$         290765,$         289812
Georgia,1998,$       23166004,$       20164786,$       21736052,$       20281187,$        3606850,$              0,$        2760130,$        2274953,$         435128,$         923025,$         878284,$          44741,$         259447,$         258800
Georgia,1999,$       27638537,$       21445362,$       23203145,$       21578764,$        4004022,$              0,$        3104114,$        2635523,$         410652,$         912910,$         895498,$          17412,$         285556,$         284920
Georgia,2000,$       29629673,$       23395202,$       24812898,$       23091711,$        4172748,$              0,$        3363326,$        2816121,$         531780,$        1011437,$         969519,$          41918,$         343218,$         331585
Georgia,2001,$       25250019,$       25411417,$       27860155,$       25662423,$        4782708,$              0,$        3638636,$        3095126,$         664204,$        1178124,$        1156989,$          21135,$         432423,$         420527
Georgia,2002,$       24846501,$       26114056,$       31352991,$       28465937,$        5010529,$              0,$        3858275,$        3354940,$         609925,$        1093927,$        1082419,$          11508,$         459848,$         452605
Georgia,2003,$       29874373,$       26320141,$       32526824,$       29291099,$        5359639,$              0,$        4171848,$        3588753,$         600420,$        1225664,$        1210037,$          15627,$         538860,$         528441
Georgia,2004,$       33898727,$       27289184,$       34229517,$       30863950,$        5769152,$              0,$        4452508,$        3646145,$         731277,$        1319054,$        1306461,$          12593,$         631208,$         629465
Georgia,2005,$       36111681,$       30053266,$       35658892,$       32311971,$        5713169,$              0,$        4412049,$        3792582,$         723573,$        1209870,$        1204705,$           5165,$         530353,$         529444
Georgia,2006,$       38171330,$       32929917,$       36246323,$       32601662,$        5864906,$            717,$        4508536,$        4004056,$         698197,$        1503323,$        1498837,$           4486,$         804388,$         801253
Georgia,2007,$       45157349,$       36403949,$       41844861,$       37750247,$        6260769,$              7,$        4763671,$        4253217,$         756029,$        1799138,$        1792177,$           6961,$        1068591,$        1065116
Georgia,2008,$       41153807,$       36671549,$       41166551,$       36166348,$        7004342,$              4,$        5472241,$        4651364,$         773648,$        1964509,$        1958152,$           6357,$        1159066,$        1157607
Georgia,2009,$       33614408,$       34365954,$       41452427,$       35956143,$        7182540,$              0,$        5556264,$        4779052,$         862565,$        1606984,$        1594873,$          12111,$         985442,$         984888
Georgia,2010,$       44888723,$       36490385,$       44482207,$       36710385,$        7425259,$              0,$        5443446,$        4768619,$        1007114,$        1689007,$        1663712,$          25295,$         839853,$         838758
Georgia,2011,$       52275155,$       37148197,$       45266394,$       37926563,$        8432030,$              0,$        6240534,$        5262470,$        1152361,$        1756707,$        1734305,$          22402,$         932247,$         930419
Georgia,2012,$       39411524,$       35994947,$       44159568,$       37091530,$        9098590,$              0,$        6232740,$        5434801,$         926466,$        1898049,$        1884827,$          13222,$         940526,$         938026
Georgia,2013,$       49988285,$       38121412,$       44603393,$       37825893,$        8873165,$              0,$        6257353,$        5466656,$         903015,$        1866320,$        1854712,$          11608,$         927767,$         923772
Georgia,2014,$       53298128,$       38487046,$       45573595,$       38526227,$        8619039,$              0,$        6124991,$        5316790,$         933053,$        1927082,$        1916021,$          11061,$         961046,$         957565
Georgia,2015,$       45498424,$       39736647,$       45296004,$       39023415,$        7314392,$              0,$        5385463,$        4722668,$         995132,$        2067038,$        2055439,$          11599,$        1039778,$        1033292
Georgia,2016,$       45623583,$       42044132,$       47459456,$       41051840,$        7809230,$              0,$        5721378,$        5004389,$        1078655,$        2271657,$        2253791,$          17866,$        1225670,$        1214189
Georgia,2017,$       56288198,$       43915275,$       49604549,$       42988656,$        8194518,$              0,$        6013401,$        5206964,$        1143298,$        2412777,$        2395891,$          16886,$        1249039,$        1239868
Hawaii,1990,$        4362685,$        3841823,$        3831960,$        3546650,$        1113473,$         684663,$         409680,$         367544,$           3595,$         298343,$         267872,$          30471,$         146926,$         144286
Hawaii,1991,$        4915536,$        4348045,$        4510034,$        4174449,$        1268863,$         783046,$         466664,$         412076,$           4017,$         362834,$         333548,$          29286,$         191224,$         185057
Hawaii,1992,$        5298548,$        4567848,$        5301336,$        4902626,$        1344015,$         814149,$         511473,$         456172,$           4179,$         393049,$         372258,$          20791,$         209161,$         203450
Hawaii,1993,$        5543158,$        4837650,$        5605688,$        5087791,$        1446756,$         833820,$         591388,$         502783,$           4491,$         460392,$         421081,$          39311,$         257086,$         242272
Hawaii,1994,$        5697740,$        5056910,$        5805649,$        5260983,$        1495992,$         887181,$         589399,$         500938,$           5037,$         502877,$         455681,$          47196,$         291448,$         262699
Hawaii,1995,$        5777523,$        5098822,$        6014741,$        5371517,$        1645470,$         958312,$         664502,$         557361,$           5447,$         501296,$         449577,$          51719,$         283747,$         262044
Hawaii,1996,$        6383347,$        5379231,$        5946676,$        5229112,$        1548266,$         947076,$         579034,$         527027,$           5149,$         472696,$         457116,$          15580,$         291569,$         284350
Hawaii,1997,$        6700545,$        5526957,$        6093375,$        5420946,$        1557019,$         946734,$         589625,$         546739,$           4877,$         489158,$         477507,$          11651,$         251517,$         247062
Hawaii,1998,$        6760740,$        5473742,$        5860425,$        5261479,$        1636140,$         973182,$         640078,$         582009,$           4598,$         485530,$         467317,$          18213,$         253862,$         250354
Hawaii,1999,$        6646380,$        5614565,$        6265729,$        5650751,$        1778197,$        1069321,$         686280,$         607307,$           4725,$         522264,$         504006,$          18258,$         337363,$         332761
Hawaii,2000,$        6940637,$        5728976,$        6604609,$        5975493,$        1853805,$        1144873,$         689072,$         606082,$           4086,$         572280,$         542620,$          29660,$         380241,$         355643
Hawaii,2001,$        6591146,$        6045188,$        6792058,$        6144750,$        2192291,$        1429512,$         745037,$         644576,$           4471,$         551885,$         532685,$          19200,$         380967,$         364832
Hawaii,2002,$        5868714,$        6042317,$        7445512,$        6683606,$        2257402,$        1442069,$         792210,$         707298,$           9863,$         619515,$         571506,$          48009,$         434726,$         388530
Hawaii,2003,$        6808157,$        6377451,$        7611286,$        6851905,$        2331771,$        1560768,$         748263,$         728076,$           8140,$         641500,$         607790,$          33710,$         426983,$         398733
Hawaii,2004,$        8420828,$        6850196,$        7875322,$        7081208,$        2487582,$        1675067,$         770319,$         768095,$          27984,$         637507,$         626061,$          11446,$         393431,$         385798
Hawaii,2005,$        9091681,$        7864376,$        8405444,$        7619876,$        2648452,$        1728202,$         880427,$         800099,$          26217,$         793079,$         782163,$          10916,$         415145,$         405557
Hawaii,2006,$        9856552,$        8551896,$        8913697,$        8090272,$        2912611,$        1937230,$         935690,$         851835,$          25211,$         881583,$         874533,$           7050,$         473769,$         466978
Hawaii,2007,$       11172950,$        9069976,$        9848210,$        8969744,$        3239562,$        2159569,$        1030768,$         924973,$          29671,$        1056466,$        1047971,$           8495,$         601530,$         593260
Hawaii,2008,$        9298617,$        9301983,$       10702719,$        9735857,$        3511360,$        2248990,$        1206533,$        1088738,$          36025,$        1242063,$        1190459,$          51604,$         669605,$         659607
Hawaii,2009,$        6945777,$        9018293,$       11244913,$       10096387,$        3556817,$        2349043,$        1149641,$        1006861,$          40814,$        1236807,$        1193828,$          42979,$         635602,$         625581
Hawaii,2010,$       11609211,$        9471490,$       11286331,$        9742970,$        3254387,$        2094313,$        1090676,$         915770,$          48437,$        1159865,$        1115562,$          44303,$         519534,$         510463
Hawaii,2011,$       12807096,$       10078961,$       11475771,$        9963247,$        3345134,$        1938425,$        1311756,$        1062548,$          81996,$        1249316,$        1207060,$          42256,$         582603,$         572868
Hawaii,2012,$       10584300,$        9972219,$       11682152,$       10226231,$        3484739,$        1872571,$        1506727,$        1092411,$          91216,$        1045137,$         930478,$         114659,$         461468,$         395538
Hawaii,2013,$       13341847,$       10905205,$       11719130,$       10318086,$        3389889,$        1864525,$        1410793,$        1102523,$          96821,$        1056192,$         949450,$         106742,$         445894,$         402340
Hawaii,2014,$       14154911,$       11439899,$       12330263,$       10868871,$        3383380,$        2126070,$        1133575,$         949479,$         105538,$        1248109,$        1125654,$         122455,$         549618,$         481374
Hawaii,2015,$       13254252,$       12002505,$       11863592,$       10504000,$        3179099,$        1973726,$        1082242,$         951549,$         105735,$        1155796,$        1092566,$          63230,$         497394,$         484934
Hawaii,2016,$       13426112,$       12927936,$       12365540,$       10980347,$        3390107,$        2122302,$        1110236,$         987361,$         136682,$        1139445,$        1116215,$          23230,$         510793,$         493649
Hawaii,2017,$       16118261,$       13451636,$       12682493,$       11193547,$        3409590,$        2068737,$        1206613,$        1030750,$         115102,$        1167983,$        1148336,$          19647,$         550126,$         532621
Idaho,1990,$        2436034,$        1993773,$        2046765,$        1831124,$         315682,$              0,$         274870,$         233089,$           7160,$          75751,$          73364,$           2387,$          48177,$          46598
Idaho,1991,$        2583740,$        2147617,$        2305140,$        2055374,$         355637,$              0,$         310213,$         263540,$           8829,$          82024,$          78576,$           3448,$          51582,$          49329
Idaho,1992,$        2827234,$        2452721,$        2604107,$        2315712,$         380714,$              0,$         325665,$         291143,$          10361,$          88473,$          85110,$           3363,$          55796,$          54026
Idaho,1993,$        3295943,$        2633243,$        2775537,$        2441966,$         400153,$              0,$         346281,$         306746,$          10570,$          89758,$          86380,$           3378,$          56541,$          55474
Idaho,1994,$        3620436,$        2837089,$        2989324,$        2649688,$         455493,$              0,$         394973,$         335820,$          13003,$         105227,$          97407,$           7820,$          67308,$          65269
Idaho,1995,$        3845325,$        3151005,$        3360314,$        2941311,$         509341,$              0,$         417402,$         354347,$          42648,$         122209,$         109966,$          12243,$          77084,$          75289
Idaho,1996,$        4383680,$        3304739,$        3501298,$        3082521,$         573550,$              0,$         451598,$         370937,$          78569,$          97153,$          92736,$           4417,$          59795,$          58487
Idaho,1997,$        4289183,$        3401851,$        3674210,$        3250563,$         521112,$              0,$         453453,$         389546,$          17880,$         120001,$         115261,$           4740,$          82237,$          78917
Idaho,1998,$        4705173,$        3591719,$        3785613,$        3376692,$         549907,$              0,$         479547,$         403572,$          19555,$         129498,$         118966,$          10532,$          84334,$          82856
Idaho,1999,$        4870426,$        3847418,$        4230335,$        3776871,$         570086,$              0,$         505855,$         438281,$          21744,$         128285,$         125441,$           2844,$          87475,$          85654
Idaho,2000,$        5576284,$        4202391,$        4492552,$        4038683,$         651359,$              0,$         554871,$         464842,$          23410,$         129687,$         127636,$           2051,$          86998,$          85734
Idaho,2001,$        5286097,$        4558746,$        4951659,$        4426471,$         694167,$              0,$         601931,$         507256,$          27992,$         132439,$         130205,$           2234,$          89360,$          87882
Idaho,2002,$        4487672,$        4375145,$        5234047,$        4624686,$         704040,$              0,$         604091,$         528364,$          35276,$         142609,$         141305,$           1304,$          97283,$          96432
Idaho,2003,$        5492993,$        4616599,$        5415138,$        4759455,$         729581,$              0,$         634559,$         529674,$          38422,$         144734,$         143808,$            926,$          98987,$          98386
Idaho,2004,$        7112364,$        5309905,$        5762624,$        5093039,$         818862,$              0,$         713800,$         576107,$          41767,$         151163,$         148434,$           2729,$         111977,$         110211
Idaho,2005,$        7204275,$        5679277,$        6143914,$        5487315,$         886624,$              0,$         751897,$         644915,$          53982,$         162037,$         161592,$            445,$         120748,$         120308
Idaho,2006,$        7785621,$        5978897,$        6352876,$        5659741,$         900902,$              0,$         772904,$         675737,$          53466,$         179140,$         177232,$           1908,$         133767,$         132340
Idaho,2007,$        9095154,$        6409015,$        6905319,$        6155614,$         949989,$              0,$         815146,$         699000,$          58189,$         178662,$         176067,$           2595,$         134802,$         132723
Idaho,2008,$        7151673,$        6808584,$        7717823,$        6849329,$        1123994,$              0,$         973976,$         768365,$          63732,$         193360,$         190856,$           2504,$         146050,$         144288
Idaho,2009,$        5579623,$        6451878,$        8260478,$        7161726,$        1156387,$              0,$         989831,$         776648,$          70034,$         200729,$         198041,$           2688,$         150392,$         148455
Idaho,2010,$        8859444,$        6726503,$        8514075,$        7119304,$        1086616,$              0,$         922261,$         762908,$          73114,$         230806,$         230090,$            716,$         178728,$         178176
Idaho,2011,$       10476454,$        7344101,$        8733485,$        7404749,$        1036754,$              0,$         886019,$         772620,$          75760,$         199965,$         198451,$           1514,$         155660,$         154606
