Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
New Hampshire,2017,$        9397679,$        7081110,$        8815299,$        7463021,$        1188211,$              0,$         940165,$         830102,$         173818,$         159319,$         156362,$           2957,$          97799,$          96608
New Jersey,1990,$       22759858,$       18300448,$       21848658,$       18436359,$        2056837,$         208377,$        1579144,$        1317332,$         158403,$        1116092,$        1094598,$          21494,$         375668,$         371896
New Jersey,1991,$       24743271,$       20055805,$       23250454,$       19398772,$        2146159,$         214355,$        1631828,$        1397598,$         184519,$        1186993,$        1170823,$          16170,$         406359,$         403368
New Jersey,1992,$       28921792,$       23400274,$       29316217,$       24109399,$        2468810,$         421964,$        1728364,$        1524993,$         210140,$        1248620,$        1224551,$          24069,$         402629,$         399035
New Jersey,1993,$       29610785,$       23812593,$       28922752,$       23630213,$        2587529,$         446132,$        1799677,$        1603531,$         235968,$        1303638,$        1283503,$          20135,$         437009,$         434838
New Jersey,1994,$       29807721,$       24028565,$       29605770,$       24432409,$        2768928,$         435998,$        1969293,$        1706311,$         245836,$        1372515,$        1333766,$          38749,$         473315,$         461246
New Jersey,1995,$       32675210,$       25342938,$       32605483,$       26438155,$        2903463,$         380586,$        2004802,$        1759952,$         342765,$        1544159,$        1466645,$          77514,$         580311,$         543946
New Jersey,1996,$       35857209,$       26614948,$       32314887,$       26035016,$        2986171,$         376950,$        2031978,$        1815389,$         406367,$        1455657,$        1411160,$          44497,$         527613,$         523287
New Jersey,1997,$       36068436,$       26944683,$       29432021,$       23055752,$        3278022,$         765525,$        2080624,$        1883211,$         281949,$        1581174,$        1549057,$          32117,$         692965,$         677489
New Jersey,1998,$       37007323,$       28357326,$       31701874,$       25974058,$        3615805,$         905955,$        2203024,$        1978778,$         311751,$        1750303,$        1657980,$          92323,$         809919,$         764656
New Jersey,1999,$       39149997,$       29708463,$       32058406,$       25830903,$        3831589,$         981196,$        2443400,$        2191177,$         302770,$        1555425,$        1534996,$          20429,$         673475,$         672092
New Jersey,2000,$       42339819,$       32237376,$       34783171,$       28160194,$        4477856,$        1270869,$        2765470,$        2443898,$         334031,$        1804918,$        1787349,$          17569,$         733932,$         733202
New Jersey,2001,$       42788178,$       34372985,$       37659554,$       30476649,$        4836297,$        1387527,$        2984786,$        2617004,$         351069,$        2041951,$        2008158,$          33793,$         875214,$         870707
New Jersey,2002,$       32709241,$       33896598,$       41987647,$       32935974,$        4558333,$         853845,$        3197627,$        2740981,$         385053,$        2135436,$        2124855,$          10581,$         884772,$         883554
New Jersey,2003,$       46077610,$       38819455,$       44947598,$       34859788,$        5755310,$        1798230,$        3434147,$        2820950,$         405566,$        2148712,$        2114039,$          34673,$         835643,$         834499
New Jersey,2004,$       51041285,$       38356817,$       48975600,$       38584187,$        6098738,$        1879593,$        3481509,$        2912083,$         454343,$        2556136,$        2510954,$          45182,$        1039035,$        1026338
New Jersey,2005,$       52661668,$       42184082,$       50964235,$       40560870,$        6642097,$        1977543,$        3814458,$        3189333,$         489434,$        2536637,$        2476998,$          59639,$         978706,$         963611
New Jersey,2006,$       57590975,$       46426549,$       55900403,$       45176970,$        8485532,$        3641903,$        3879936,$        3305624,$         515009,$        2332723,$        2276106,$          56617,$         762971,$         753454
New Jersey,2007,$       65908594,$       50159966,$       56080207,$       44924719,$        8159987,$        3264836,$        3706061,$        3364394,$         560580,$        3095201,$        2998147,$          97054,$        1263811,$        1194203
New Jersey,2008,$       55065611,$       51395700,$       58536128,$       46810441,$        8433249,$        3109703,$        4124545,$        3776007,$         572529,$        3190623,$        3101229,$          89394,$        1270176,$        1202698
New Jersey,2009,$       42944305,$       49174866,$       62037950,$       48208101,$        9027277,$        3184501,$        4383309,$        3846777,$         725078,$        3255282,$        3179518,$          75764,$        1270983,$        1211577
New Jersey,2010,$       66531221,$       51182545,$       67776049,$       49106061,$        8379800,$        2764993,$        4107738,$        3672033,$         757780,$        3377100,$        3317657,$          59443,$        1295216,$        1239546
New Jersey,2011,$       70798018,$       51676400,$       67182402,$       48800604,$        8080789,$        2343341,$        4318131,$        3807833,$         722848,$        3305668,$        3255358,$          50310,$        1205986,$        1159077
New Jersey,2012,$       60259496,$       52013220,$       71913710,$       54255464,$        8738874,$        2332796,$        4627874,$        3991230,$         817705,$        4349524,$        4316532,$          32992,$        2385357,$        2361817
New Jersey,2013,$       71391736,$       54679624,$       72462324,$       55151997,$        8903328,$        2408408,$        4658730,$        4177324,$         838504,$        4936060,$        4884504,$          51556,$        3003582,$        2961529
New Jersey,2014,$       74973908,$       57347374,$       75090096,$       58675029,$        9700968,$        2907410,$        4819317,$        4205585,$         918345,$        5403477,$        5245511,$         157966,$        3201518,$        3046899
New Jersey,2015,$       70466450,$       61415686,$       76152869,$       60697956,$        9991239,$        2664065,$        5119078,$        4293014,$        1021452,$        4970401,$        4897658,$          72743,$        2921218,$        2852776
New Jersey,2016,$       67078222,$       61136455,$       77324516,$       61255819,$       10793325,$        2764777,$        5690978,$        4645366,$        1111637,$        4935157,$        4887893,$          47264,$        2870284,$        2826252
New Jersey,2017,$       78295417,$       63009819,$       76870359,$       60351325,$       11003500,$        2696523,$        6159498,$        5094500,$         933192,$        4801159,$        4741815,$          59344,$        2756487,$        2700654
New Mexico,1990,$        4787154,$        4072477,$        4172425,$        3891219,$         663324,$              0,$         596718,$         551730,$          19749,$         317711,$         310005,$           7706,$         130411,$         129193
New Mexico,1991,$        4912601,$        4332211,$        4526761,$        4203656,$         690252,$              0,$         614417,$         563564,$          23795,$         369095,$         357103,$          11992,$         159122,$         157490
New Mexico,1992,$        5582371,$        4743342,$        5183563,$        4805228,$         763268,$              0,$         685066,$         626557,$          26207,$         413150,$         403430,$           9720,$         179979,$         179224
New Mexico,1993,$        6012999,$        5086036,$        5599499,$        5189922,$         785453,$              0,$         703695,$         649143,$          28001,$         464245,$         452124,$          12121,$         206723,$         205131
New Mexico,1994,$        6420917,$        5511023,$        5995357,$        5569691,$         850948,$              0,$         743414,$         686271,$          43024,$         517559,$         503357,$          14202,$         230986,$         228486
New Mexico,1995,$        6641793,$        5667494,$        6363127,$        5867094,$         960971,$              0,$         843740,$         768283,$          42683,$         569543,$         551564,$          17979,$         267297,$         264739
New Mexico,1996,$        8143134,$        6331959,$        6747602,$        6228775,$         980927,$              0,$         868873,$         784499,$          42169,$         576807,$         556757,$          20050,$         268229,$         266071
New Mexico,1997,$        8229333,$        7004279,$        7058693,$        6486411,$        1026488,$              0,$         914853,$         815642,$          42760,$         590311,$         574225,$          16086,$         269733,$         266829
New Mexico,1998,$        9058548,$        7127032,$        7539619,$        6943830,$        1059033,$              0,$         936845,$         842248,$          51938,$         587110,$         576127,$          10983,$         267416,$         265297
New Mexico,1999,$        8756881,$        7160654,$        8089399,$        7434255,$        1102644,$              0,$         965530,$         905578,$          63040,$         606988,$         586297,$          20691,$         274677,$         272617
New Mexico,2000,$       10570408,$        7887550,$        8700579,$        7985407,$        1374138,$              0,$        1220429,$         942331,$          73027,$         659541,$         639212,$          20329,$         302504,$         300271
New Mexico,2001,$        9099224,$        8753051,$        9173756,$        8399238,$        1339762,$              0,$        1150977,$        1036493,$         106218,$         692066,$         670295,$          21771,$         323794,$         322014
New Mexico,2002,$        8746253,$        8478045,$       10083987,$        9213597,$        1467571,$              0,$        1260610,$        1166760,$         118273,$         739104,$         718972,$          20132,$         340031,$         338044
New Mexico,2003,$        9847659,$        9007272,$       10672603,$        9713782,$        1490947,$              0,$        1261159,$        1169137,$         133923,$         735318,$         709809,$          25509,$         288780,$         286996
New Mexico,2004,$       11845096,$        9833783,$       11233417,$       10222110,$        1589186,$            159,$        1343310,$        1237464,$         147493,$         725954,$         704682,$          21272,$         238674,$         237405
New Mexico,2005,$       13344177,$       11133141,$       12463203,$       11406612,$        1657518,$            637,$        1449508,$        1344988,$         105687,$         891493,$         835742,$          55751,$         323155,$         318427
New Mexico,2006,$       14746043,$       12129981,$       13242888,$       12122246,$        1896015,$             66,$        1608385,$        1417709,$         166204,$        1037170,$         942316,$          94854,$         351300,$         347971
New Mexico,2007,$       17103483,$       12993907,$       14907222,$       13640705,$        2041076,$              0,$        1679151,$        1471076,$         174758,$        1181876,$        1068134,$         113742,$         447156,$         443973
New Mexico,2008,$       12458381,$       13279063,$       16101771,$       14721630,$        2374467,$              0,$        2002274,$        1566694,$         145442,$        1240842,$        1193811,$          47031,$         490852,$         486042
New Mexico,2009,$        9869384,$       13477792,$       17377696,$       15796980,$        2436806,$              0,$        2087284,$        1715530,$         149703,$        1341617,$        1288378,$          53239,$         508665,$         491105
New Mexico,2010,$       17452867,$       13892204,$       17996040,$       15904005,$        2436877,$              0,$        2089202,$        1678537,$         161785,$        1454013,$        1426381,$          27632,$         535037,$         534179
New Mexico,2011,$       19747623,$       14830391,$       17865171,$       15611490,$        2389024,$              0,$        2062080,$        1733629,$         163232,$        1415280,$        1384564,$          30716,$         494774,$         493933
New Mexico,2012,$       15571561,$       14500809,$       16978696,$       14735931,$        2405280,$              0,$        2027309,$        1702218,$         185988,$        1397984,$        1377368,$          20616,$         452399,$         452174
New Mexico,2013,$       18211895,$       14483522,$       17113543,$       14928312,$        2408897,$              0,$        2029642,$        1758701,$         193454,$        1426763,$        1410208,$          16555,$         473079,$         472879
New Mexico,2014,$       20305051,$       15589547,$       17675570,$       15480224,$        2439471,$              0,$        2056143,$        1800605,$         195314,$        1500213,$        1483226,$          16987,$         479615,$         478568
New Mexico,2015,$       19358968,$       17347039,$       20635651,$       18439826,$        2639965,$           4765,$        2204629,$        1856117,$         235712,$        1925966,$        1899395,$          26571,$         699975,$         699058
New Mexico,2016,$       18512460,$       16495816,$       21346418,$       19036826,$        2675519,$           4931,$        2234796,$        1917264,$         227833,$        1921734,$        1896581,$          25153,$         646275,$         646196
New Mexico,2017,$       21013614,$       16719002,$       20661361,$       18264485,$        2746235,$           4960,$        2321013,$        1986254,$         220309,$        1520882,$        1495308,$          25574,$         376518,$         376518
New York,1990,$       64359774,$       52441281,$       59138553,$       49697487,$        4623202,$              0,$        3399239,$        3108881,$         622576,$        4445558,$        4152958,$         292600,$        1155269,$        1014162
New York,1991,$       65715331,$       54934621,$       64320860,$       53916492,$        4801938,$            713,$        3707149,$        3399360,$         689423,$        4741617,$        4391870,$         349747,$        1309697,$        1099111
New York,1992,$       74933626,$       60415068,$       73153357,$       60869111,$        5078736,$              0,$        3901558,$        3387578,$         774309,$        4688625,$        4325938,$         362687,$        1311122,$        1060738
New York,1993,$       78209421,$       62985784,$       74279884,$       61557640,$        5494301,$              0,$        4253834,$        3600762,$         843683,$        4806142,$        4385987,$         420155,$        1321741,$        1037874
New York,1994,$       82670003,$       67055742,$       76871574,$       64802431,$        5628581,$              0,$        4362630,$        3861658,$         862409,$        5206574,$        4465161,$         741413,$        1591899,$        1267937
New York,1995,$       90997110,$       69875147,$       81371988,$       68307509,$        5798715,$              0,$        4464104,$        4109860,$         917586,$        5382341,$        4564483,$         817858,$        1762788,$        1404502
New York,1996,$       94277491,$       71219317,$       82420166,$       68865818,$        5704128,$              0,$        4345634,$        3931184,$         922131,$        5734762,$        4818249,$         916513,$        2000549,$        1468025
New York,1997,$       95442410,$       75382513,$       84051610,$       70825310,$        5751584,$              0,$        4438165,$        3956309,$         906287,$        4320143,$        3537615,$         782528,$        1008510,$         610859
New York,1998,$      101110358,$       80720172,$       87338292,$       73869205,$        6172682,$              0,$        4810530,$        4113097,$         935442,$        4398531,$        3657382,$         741149,$        1052337,$         671173
New York,1999,$      102241862,$       80041543,$       92583501,$       78720499,$        5912810,$              0,$        4579343,$        4113194,$         915659,$        4209134,$        3691042,$         518092,$        1065326,$         797457
New York,2000,$      111397057,$       84765365,$       96924806,$       80617376,$        6224543,$              0,$        4927179,$        4345677,$         872394,$        4519241,$        3813575,$         705666,$        1321460,$         802185
New York,2001,$      112438570,$       91801777,$      106598603,$       89236585,$        7345745,$              0,$        5813224,$        5197764,$        1089059,$        4529403,$        3977586,$         551817,$        1247880,$         854878
New York,2002,$      104533614,$       92896789,$      119198996,$       96528968,$        7619493,$              0,$        6162984,$        5083813,$        1047880,$        4756203,$        4141347,$         614856,$        1362946,$         948581
New York,2003,$      118274576,$       98842100,$      127475233,$      101825036,$        7848565,$              0,$        6235430,$        5447899,$        1174490,$        4962816,$        4395948,$         566868,$        1316681,$         910731
New York,2004,$      138563422,$      108342871,$      132897176,$      108262067,$        8522162,$              0,$        6703244,$        5811853,$        1392954,$        5226570,$        4503320,$         723250,$        1366161,$         896915
New York,2005,$      144260298,$      115022849,$      135811038,$      111893976,$        9177671,$              0,$        7160657,$        6019085,$        1530935,$        5553072,$        4698622,$         854450,$        1482272,$         957109
New York,2006,$      166473200,$      123956191,$      142897187,$      115497830,$        9394278,$              0,$        7424993,$        6478210,$        1506165,$        5983864,$        5099091,$         884773,$        1636220,$        1111617
New York,2007,$      177145384,$      128656529,$      151481557,$      124893677,$       10358770,$              0,$        8389598,$        7206774,$        1424370,$        6701023,$        5723225,$         977798,$        2101516,$        1433946
New York,2008,$      145475808,$      131165768,$      156202016,$      128221439,$       10830276,$              0,$        8832779,$        7629742,$        1458483,$        7013425,$        6075765,$         937660,$        2117183,$        1465791
New York,2009,$       92112356,$      134950509,$      165100850,$      133940570,$       12223058,$              0,$       10349008,$        8557752,$        1438743,$        8979296,$        7803636,$        1175660,$        3081037,$        2367837
New York,2010,$      195725953,$      140231726,$      174754082,$      137973286,$       11882893,$              0,$        9794239,$        7785529,$        1569444,$        8785641,$        7809816,$         975825,$        3023718,$        2353461
New York,2011,$      205546377,$      148840822,$      184009243,$      146077903,$       12838703,$              0,$       10904451,$        8361578,$        1528341,$        8893625,$        7927307,$         966318,$        2779874,$        2094938
New York,2012,$      173325042,$      145110787,$      181240199,$      144244666,$       12853408,$              0,$       10822822,$        8436526,$        1614436,$        9119120,$        8120506,$         998614,$        2785955,$        2080467
New York,2013,$      192401063,$      144156505,$      186993298,$      146645134,$       12268806,$           3121,$       10527412,$        8185527,$        1647181,$        7565359,$        6973763,$         591596,$        2829505,$        2549171
New York,2014,$      204188700,$      147903813,$      178866850,$      145456947,$       12221145,$           1297,$       10361443,$        8322614,$        1762568,$        8128660,$        7314846,$         813814,$        3056092,$        2782945
New York,2015,$      195501203,$      156767158,$      189878434,$      151427270,$       12478974,$            793,$       10287544,$        8695102,$        2092194,$        8103184,$        7274167,$         829017,$        3105442,$        2816409
New York,2016,$      183210282,$      161989182,$      194351031,$      159942917,$       12898373,$           1027,$       10788091,$        9117110,$        2007750,$        8375521,$        7728312,$         647209,$        3029318,$        2848979
New York,2017,$      214235789,$      162711509,$      201925619,$      165623776,$       12762816,$           1656,$       10681536,$        9255531,$        1974831,$        8653445,$        8063491,$         589954,$        3217613,$        3038694
North Carolina,1990,$       14625482,$       12345208,$       13492830,$       12555345,$        2144482,$          69103,$        1842876,$        1615318,$          63319,$         716350,$         684767,$          31583,$         174933,$         165057
North Carolina,1991,$       15266228,$       12927231,$       15036215,$       13805168,$        2226719,$          65729,$        1904436,$        1711413,$          70069,$         795583,$         767684,$          27899,$         182645,$         179877
North Carolina,1992,$       17663941,$       14980885,$       16045514,$       14671144,$        2283928,$          33234,$        1991335,$        1803976,$          76853,$         838503,$         811549,$          26954,$         199661,$         195525
North Carolina,1993,$       19373997,$       16366721,$       16915667,$       15494643,$        2635400,$          51251,$        2248181,$        1970218,$         139434,$         944417,$         891699,$          52718,$         253524,$         245996
North Carolina,1994,$       21050902,$       17959184,$       18625431,$       17228117,$        2781130,$          96274,$        2320456,$        2107333,$         133675,$        1012521,$         967213,$          45308,$         300500,$         294756
North Carolina,1995,$       22462479,$       19170054,$       20436613,$       18734570,$        3017029,$          63115,$        2522648,$        2251525,$         136129,$        1044523,$         994504,$          50019,$         307739,$         301966
North Carolina,1996,$       23387492,$       20047157,$       21220754,$       19410421,$        3191819,$          81522,$        2661874,$        2349708,$         154108,$        1128069,$        1083305,$          44764,$         380636,$         372984
North Carolina,1997,$       25526697,$       21695686,$       22864451,$       20954530,$        3379751,$          98825,$        2841886,$        2508951,$         182830,$        1187969,$        1149807,$          38162,$         406759,$         402050
North Carolina,1998,$       33326975,$       23949838,$       24604942,$       22670625,$        3661523,$          82902,$        3097951,$        2714175,$         195741,$        1281795,$        1237920,$          43875,$         452150,$         444389
North Carolina,1999,$       34063932,$       25311990,$       26830081,$       24610671,$        3908027,$         122654,$        3267637,$        2936045,$         207175,$        1393175,$        1358946,$          34229,$         497297,$         488932
North Carolina,2000,$       34361400,$       27762320,$       29615132,$       27241758,$        4203222,$          97032,$        3533429,$        3197221,$         232468,$        1732179,$        1698249,$          33930,$         484484,$         476744
North Carolina,2001,$       32202748,$       29391844,$       31626851,$       28860264,$        4579969,$         130414,$        3808301,$        3506340,$         266538,$        1790877,$        1731173,$          59704,$         524437,$         518716
North Carolina,2002,$       31523608,$       29972482,$       33123528,$       29537271,$        4602025,$          33922,$        4054474,$        3646734,$         276920,$        1920779,$        1906717,$          14062,$         631738,$         628792
North Carolina,2003,$       30042985,$       30171034,$       34360977,$       30428323,$        4951797,$         156013,$        4354969,$        3785284,$         226681,$        1730933,$        1714569,$          16364,$         678006,$         670948
North Carolina,2004,$       44371161,$       32951167,$       37094848,$       33053356,$        6051833,$         176901,$        5422304,$        4736890,$         238311,$        1868210,$        1845963,$          22247,$         761167,$         750001
North Carolina,2005,$       44892190,$       36302608,$       39777802,$       35939303,$        6779381,$         240290,$        6023336,$        5082647,$         261724,$        2236221,$        2207907,$          28314,$        1076004,$        1060805
North Carolina,2006,$       45474328,$       38884314,$       40516133,$       36587829,$        7241870,$         248933,$        6425830,$        5497039,$         277017,$        2385523,$        2320277,$          65246,$        1124380,$        1113024
North Carolina,2007,$       50940593,$       41439572,$       43051173,$       38777593,$        6910176,$         299143,$        5975226,$        5169951,$         317556,$        2576331,$        2479083,$          97248,$        1204654,$        1192382
North Carolina,2008,$       50387762,$       42064048,$       45932844,$       41045619,$        7141775,$         306726,$        6103659,$        5542628,$         360692,$        2902097,$        2822795,$          79302,$        1441191,$        1427001
North Carolina,2009,$       30150407,$       41993287,$       48586378,$       42305938,$        7407697,$         342076,$        6286764,$        5763843,$         374478,$        2963254,$        2926525,$          36729,$        1462175,$        1453327
North Carolina,2010,$       57465106,$       44055374,$       52189891,$       43013853,$        8208601,$         310818,$        6967828,$        6116180,$         492672,$        3042002,$        3012372,$          29630,$        1512242,$        1501336
North Carolina,2011,$       63194017,$       45852658,$       53088745,$       44335109,$        8652456,$          82782,$        7257828,$        6402266,$         603558,$        3030338,$        2947921,$          82417,$        1408728,$        1364891
North Carolina,2012,$       52287443,$       47226615,$       54742282,$       46774562,$        9475514,$         446867,$        7611336,$        6713965,$         874120,$        1720182,$        1634968,$          85214,$        1081840,$        1054675
North Carolina,2013,$       59899743,$       48605754,$       56889109,$       49365174,$        9301534,$         504984,$        7313598,$        6533164,$         940174,$        1812920,$        1709761,$         103159,$        1140211,$        1111085
North Carolina,2014,$       63521116,$       49783384,$       55470600,$       47930110,$        9338248,$         465864,$        7291429,$        6706889,$        1013148,$        2807425,$        2656056,$         151369,$        1032911,$        1017096
North Carolina,2015,$       57425178,$       52382009,$       54976888,$       49116363,$        9732855,$         483526,$        7615218,$        7027944,$        1109380,$        2744659,$        2646326,$          98333,$         940473,$         930943
North Carolina,2016,$       57085205,$       52976843,$       55872238,$       49773495,$       10073091,$         458855,$        7710261,$        7161654,$        1211961,$        3017536,$        2758475,$         259061,$         923059,$         912982
North Carolina,2017,$       68162357,$       54948763,$       58444539,$       52123366,$       10546176,$         488252,$        8151774,$        7562427,$        1298485,$        3101826,$        3013987,$          87839,$         966084,$         948586
North Dakota,1990,$        1819069,$        1628660,$        1754920,$        1586918,$         345653,$              0,$         309967,$         280793,$          12158,$          79310,$          77816,$           1494,$          18081,$          17895
North Dakota,1991,$        1966441,$        1754991,$        1792841,$        1653192,$         359593,$              0,$         323061,$         291062,$          13088,$          85347,$          82721,$           2626,$          21845,$          21270
North Dakota,1992,$        2010008,$        1748143,$        2000615,$        1833674,$         413522,$              0,$         370252,$         328410,$          14927,$          77718,$          76169,$           1549,$          22209,$          21479
North Dakota,1993,$        2247583,$        1969359,$        2119789,$        1910144,$         415201,$              0,$         365914,$         333492,$          16147,$          85735,$          83348,$           2387,$          25438,$          24869
North Dakota,1994,$        2288977,$        2009594,$        2083430,$        1885714,$         441261,$              0,$         385998,$         350335,$          14015,$          79574,$          78659,$            915,$          25314,$          25238
North Dakota,1995,$        2448480,$        2142646,$        2212660,$        2048128,$         443885,$              0,$         393800,$         357430,$          15389,$          82484,$          80739,$           1745,$          28356,$          28006
North Dakota,1996,$        2568635,$        2144456,$        2063612,$        1860406,$         417905,$              0,$         373192,$         342196,$          14058,$          67524,$          66348,$           1176,$          24448,$          24298
North Dakota,1997,$        2817603,$        2426989,$        2425660,$        2221972,$         449093,$              0,$         393583,$         358745,$          14404,$          79314,$          76837,$           2477,$          34330,$          33687
North Dakota,1998,$        3128460,$        2533365,$        2526823,$        2327221,$         470592,$              0,$         418197,$         383519,$          15340,$          76318,$          74033,$           2285,$          31312,$          31222
North Dakota,1999,$        2935592,$        2551734,$        2674523,$        2459208,$         491353,$              0,$         436314,$         398756,$          15344,$          34711,$          33847,$            864,$          34711,$          33847
North Dakota,2000,$        3295400,$        2797649,$        2855663,$        2568668,$         512209,$              0,$         461052,$         417800,$          16344,$          72908,$          71196,$           1712,$          30436,$          29886
North Dakota,2001,$        3373244,$        2840380,$        2897950,$        2673193,$         538144,$              0,$         487720,$         433272,$          18420,$          78256,$          75905,$           2351,$          34044,$          33148
North Dakota,2002,$        3016825,$        2868404,$        3020393,$        2812686,$         562587,$              0,$         510270,$         477134,$          20196,$          79649,$          78552,$           1097,$          35338,$          34952
North Dakota,2003,$        3359107,$        3035526,$        3121369,$        2897516,$         610771,$             77,$         552580,$         504532,$          24922,$          75154,$          72610,$           2544,$          31970,$          30873
North Dakota,2004,$        5233626,$        3177607,$        3254983,$        2975992,$         634682,$            140,$         569944,$         537235,$          28581,$          85242,$          81675,$           3567,$          41240,$          38400
North Dakota,2005,$        3877194,$        3343040,$        3490904,$        3156888,$         686329,$           1773,$         633918,$         587721,$          26229,$          67063,$          64876,$           2187,$          45164,$          43023
North Dakota,2006,$        4369763,$        3667407,$        3633349,$        3360266,$         719738,$           3409,$         661792,$         617111,$          31042,$          68616,$          67504,$           1112,$          45997,$          44904
North Dakota,2007,$        4786348,$        3942336,$        3777523,$        3441175,$         775254,$           3263,$         713979,$         637656,$          35549,$          66913,$          65699,$           1214,$          52004,$          50845
North Dakota,2008,$        4921091,$        4655088,$        4125958,$        3789886,$         829813,$           6190,$         763460,$         686734,$          39214,$          70736,$          70296,$            440,$          54381,$          53950
North Dakota,2009,$        4372683,$        4913633,$        4486613,$        4069320,$         844853,$           6716,$         771697,$         733065,$          46709,$          72875,$          72113,$            762,$          57520,$          56784
North Dakota,2010,$        6118449,$        5415249,$        5134130,$        4688497,$         967861,$              0,$         867210,$         793841,$          42784,$         173156,$         169660,$           3496,$         108902,$         107830
North Dakota,2011,$        7805674,$        6683088,$        5515725,$        5032457,$         998330,$              0,$         884248,$         816431,$          47701,$         164073,$         160470,$           3603,$          97629,$          96964
North Dakota,2012,$        7435888,$        7055746,$        6327215,$        5711111,$        1047462,$              0,$         936013,$         850859,$          47337,$         146887,$         146566,$            321,$         104301,$         104015
North Dakota,2013,$        9158539,$        8064315,$        6423374,$        5746938,$        1092206,$              0,$         980924,$         874400,$          45472,$         161968,$         160816,$           1152,$         116203,$         115135
North Dakota,2014,$        9995476,$        8835809,$        7529613,$        6842110,$        1124982,$              0,$        1014465,$         906239,$          42495,$         164030,$         163427,$            603,$         116941,$         116384
North Dakota,2015,$        9798229,$        8799605,$        7941790,$        7161778,$        1219695,$              0,$        1103481,$         895364,$          42274,$         173602,$         171696,$           1906,$         121402,$         120217
North Dakota,2016,$        7313387,$        6709560,$        8302530,$        7466099,$        1347615,$              0,$        1220090,$        1053294,$          47768,$         171866,$         170784,$           1082,$         123942,$         122912
North Dakota,2017,$        7767308,$        6468323,$        7802588,$        7056679,$        1236763,$              0,$        1112925,$        1006232,$          52006,$         194711,$         192889,$           1822,$         140966,$         139410
Ohio,1990,$       28771360,$       19968209,$       25237044,$       20489043,$        3347844,$              0,$        2833904,$        2491091,$         302769,$        1276730,$        1192940,$          83790,$         312024,$         308327
Ohio,1991,$       31721463,$       21378542,$       27790759,$       22324368,$        3447012,$              0,$        2961165,$        2639699,$         320966,$        1428828,$        1323364,$         105464,$         356125,$         352234
Ohio,1992,$       33712435,$       22989818,$       30424614,$       24106118,$        3855198,$              0,$        3333961,$        2796077,$         315543,$        1538411,$        1433275,$         105136,$         396301,$         393291
Ohio,1993,$       38341453,$       24483360,$       31664809,$       25037974,$        3806795,$              0,$        3244005,$        2637112,$         351053,$        1593665,$        1484827,$         108838,$         410141,$         404803
Ohio,1994,$       40836362,$       27051863,$       33421575,$       26869123,$        4047165,$              0,$        3421659,$        2959912,$         423393,$        1727088,$        1599831,$         127257,$         480808,$         474013
Ohio,1995,$       42517011,$       28263099,$       34769008,$       27907731,$        4273666,$              0,$        3583907,$        3169288,$         484327,$        1761290,$        1649387,$         111903,$         565824,$         560522
Ohio,1996,$       43708254,$       29351510,$       35517336,$       28492233,$        4431484,$              0,$        3689584,$        3265068,$         522596,$        1647644,$        1553275,$          94369,$         683516,$         674301
Ohio,1997,$       45249896,$       30792152,$       37406884,$       30704822,$        5181681,$              0,$        4236634,$        3637130,$         553903,$        1589936,$        1503893,$          86043,$         714458,$         702731
Ohio,1998,$       48133067,$       32299884,$       39209266,$       31943277,$        5125591,$              0,$        4152138,$        3571634,$         622498,$        1779163,$        1668178,$         110985,$         764779,$         749734
Ohio,1999,$       51273137,$       33206924,$       41113309,$       33284780,$        5212201,$              0,$        4278922,$        3732055,$         680032,$        1837538,$        1718462,$         119076,$         793569,$         783344
Ohio,2000,$       55273594,$       36165934,$       44630567,$       36143694,$        5714518,$              0,$        4673712,$        3947776,$         763122,$        2064271,$        1947970,$         116301,$         832744,$         818797
Ohio,2001,$       52802649,$       38195700,$       47880092,$       39034887,$        6204444,$              0,$        5031073,$        4277468,$         865723,$        2089669,$        1987356,$         102313,$         890762,$         874404
Ohio,2002,$       43787987,$       40232128,$       53473400,$       42361985,$        6515097,$              0,$        5220282,$        4585355,$         922456,$        2233857,$        2149466,$          84391,$         967956,$         957885
Ohio,2003,$       49904580,$       42422137,$       56392224,$       44613676,$        7042571,$              0,$        5675876,$        4893657,$         972563,$        2465101,$        2373507,$          91594,$        1098034,$        1088252
Ohio,2004,$       76327857,$       45616852,$       58679448,$       46329127,$        7296206,$              0,$        5897747,$        5123290,$        1012521,$        2602155,$        2526196,$          75959,$        1022459,$        1011563
Ohio,2005,$       72207554,$       49041342,$       60554060,$       49491254,$        7929462,$              0,$        6270194,$        5345146,$        1178425,$        3218838,$        3026610,$         192228,$        1314720,$        1305691
Ohio,2006,$       76180842,$       52125211,$       65144996,$       52936103,$        8391618,$              0,$        6632220,$        5743613,$        1279887,$        3366313,$        3219533,$         146780,$        1415438,$        1404639
Ohio,2007,$       87316967,$       53035118,$       66494460,$       54240373,$        8833720,$              0,$        6976134,$        6053075,$        1362383,$        3468478,$        3387679,$          80799,$        1509545,$        1492678
