Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
Alabama,1996,$       12741148,$        5257771,$         134252,$        5123519,$        2773974,$        1439145,$        1334829,$         115177,$            105,$         159955,$         462197,$           4506,$         403569,$          70320,$         119000,$         422841,$           2431,$         111172,$         187753,$         169735,$          18018,$         121485,$        1795530,$        1577914,$         217616,$          32407,$          98767
Alabama,1997,$       14007883,$        5484161,$         131229,$        5352932,$        2866477,$        1505713,$        1360764,$         117004,$             81,$         155989,$         472814,$           4272,$         414052,$          69882,$         126670,$         424165,$           2301,$         109504,$         186746,$         170633,$          16113,$         125614,$        1914215,$        1687599,$         226616,$          44511,$         103564
Alabama,1998,$       14838951,$        5734128,$         139818,$        5594310,$        2993580,$        1570650,$        1422930,$         117940,$            101,$         171553,$         486059,$           4158,$         435158,$          69991,$         137970,$         434433,$           2458,$         119034,$         192607,$         176657,$          15950,$         120334,$        2037364,$        1793561,$         243803,$          35594,$          93339
Alabama,1999,$       15501093,$        6032234,$         164495,$        5867739,$        3129368,$        1649120,$        1480248,$         120650,$             94,$         188428,$         497582,$           3823,$         458542,$          67802,$         143327,$         454177,$           2415,$         122617,$         201005,$         184383,$          16622,$         128140,$        2140483,$        1907459,$         233024,$          62784,$          80927
Alabama,2000,$       16856646,$        6438438,$         179828,$        6258610,$        3228445,$        1701885,$        1526560,$         123164,$            113,$         190750,$         505360,$           3723,$         482870,$          66431,$         154149,$         541645,$           2365,$         179169,$         207019,$         191195,$          15824,$         153092,$        2314532,$        2071433,$         243099,$          66763,$         107225
Alabama,2001,$       17859899,$        6747707,$         183163,$        6564544,$        3297746,$        1712639,$        1585107,$         128848,$             94,$         202703,$         502635,$           3528,$         520100,$          66301,$         160898,$         432671,$           2207,$          81912,$         206499,$         193872,$          12627,$         142053,$        2639173,$        2437640,$         201533,$          47261,$         147693
Alabama,2002,$       14942192,$        6509765,$         195132,$        6314633,$        3383068,$        1748235,$        1634833,$         129876,$            125,$         219773,$         511927,$           3594,$         540541,$          63782,$         165215,$         394973,$           2424,$          72080,$         196187,$         183299,$          12888,$         124282,$        2353330,$        2030694,$         322636,$          82970,$         100292
Alabama,2003,$       19098788,$        6416351,$         204534,$        6211817,$        3350223,$        1764557,$        1585666,$         126519,$            127,$         230382,$         516858,$           3416,$         479357,$          65609,$         163398,$         399871,$           2436,$          75013,$         199456,$         184196,$          15260,$         122966,$        2277949,$        2035538,$         242411,$          33549,$         150225
Alabama,2004,$       21401777,$        7018242,$         221470,$        6796772,$        3675562,$        1892560,$        1783002,$         137222,$             97,$         245577,$         535493,$           3226,$         600558,$          93270,$         167559,$         397429,$           2491,$          73183,$         189527,$         172815,$          16712,$         132228,$        2535588,$        2243537,$         292051,$          29467,$         158726
Alabama,2005,$       22296792,$        7774147,$         231136,$        7543011,$        3962816,$        2033192,$        1929624,$         118288,$             92,$         272681,$         559978,$           3096,$         630252,$         152886,$         192351,$         438447,$           2468,$          80654,$         206149,$         191141,$          15008,$         149176,$        2933829,$        2536521,$         397308,$          14462,$         193457
Alabama,2006,$       23716174,$        8529676,$         249383,$        8280293,$        4233895,$        2221506,$        2012389,$         120662,$             89,$         273432,$         566700,$           3207,$         692174,$         154321,$         201804,$         481969,$           2429,$          88112,$         237543,$         223052,$          14491,$         153885,$        3325007,$        2766239,$         558768,$           1865,$         237557
Alabama,2007,$       27147360,$        8868314,$         273501,$        8594813,$        4390386,$        2278027,$        2112359,$         158886,$            103,$         276814,$         567791,$           2968,$         744890,$         150779,$         210128,$         477462,$           3563,$          98831,$         220994,$         204831,$          16163,$         154074,$        3525396,$        3019510,$         505886,$            671,$         200898
Alabama,2008,$       17685583,$        9070530,$         301034,$        8769496,$        4433108,$        2287288,$        2145820,$         164827,$             86,$         293955,$         545726,$           2668,$         782444,$         145020,$         211094,$         487934,$           3431,$         103042,$         230449,$         212687,$          17762,$         151012,$        3602361,$        3077553,$         524808,$              0,$         246093
Alabama,2009,$       20036326,$        8306446,$         315784,$        7990662,$        4203283,$        2069535,$        2133748,$         167830,$             87,$         269808,$         546467,$           2427,$         801096,$         141176,$         204857,$         478927,$           3881,$         109384,$         211084,$         195459,$          15625,$         154578,$        3156731,$        2662759,$         493972,$              0,$         151721
Alabama,2010,$       27058029,$        8419911,$         316354,$        8103557,$        4445480,$        2097434,$        2348046,$         167285,$            115,$         259169,$         558476,$           2104,$         812367,$         137401,$         411129,$         492844,$           3868,$         108682,$         219433,$         200285,$          19148,$         160861,$        3044245,$        2616000,$         428245,$             96,$         120892
Alabama,2011,$       26296658,$        8631984,$         315698,$        8316286,$        4575127,$        2174639,$        2400488,$         167871,$             90,$         271835,$         548265,$           1973,$         772003,$         136611,$         501840,$         496117,$           3967,$         109434,$         220971,$         199970,$          21001,$         161745,$        3097084,$        2795906,$         301178,$             82,$         147876
Alabama,2012,$       29652729,$        9049294,$         321530,$        8727764,$        4626357,$        2274658,$        2351699,$         173251,$             53,$         278242,$         541499,$           1841,$         736533,$         126151,$         494129,$         517676,$           4229,$         130843,$         223554,$         201875,$          21679,$         159050,$        3430690,$        3017437,$         413253,$            303,$         152738
Alabama,2013,$       30469040,$        9270919,$         325652,$        8945267,$        4708518,$        2331676,$        2376842,$         174395,$             93,$         297958,$         530244,$           1557,$         737619,$         120110,$         514866,$         490430,$           4185,$         136786,$         225991,$         204960,$          21031,$         123468,$        3584722,$        3202520,$         382202,$             18,$         161579
